"Issue","Subject","Company","Response","Product Area","Status","Request Type"
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.
","Claude access lost","Claude","To restore your access, you'll need to contact your organization's Owner or Admin. They can reassign you to a seat by following these steps:

1. Going to Organization settings > Organization at https://claude.ai/admin-settings/organization
2. Finding your member profile
3. Clicking the dropdown under Seat Type
4. Selecting the appropriate seat type (Chat or Chat + Claude Code)

Unassigned members remain part of the organization but cannot use Claude until they're assigned to a seat. Only organization Owners and Admins have the permission to assign seats, so you'll need to reach out to them directly to have your access restored.","general_support","Replied","product_issue"
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.","Test Score Dispute","HackerRank","Escalate to a human","","Escalated","product_issue"
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.
","Help","Visa","Escalate to a human","","Escalated","product_issue"
"My mock interviews stopped in between, please give me the refund asap","Why are my mock interviews not working","HackerRank","If your mock interview was interrupted or you're not satisfied with the experience, contact help@hackerrank.com to request a refund. The support team will promptly review your request and assist you.

When contacting support, include details about when the interview stopped and what happened so they can better assist you.","community","Replied","product_issue"
"I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?
","Give me my money","HackerRank","If you experienced a payment issue, refresh the page and retry the payment. If any amount was deducted incorrectly, it will be refunded within 5–10 business days. If the issue persists or you need further assistance with your specific order, please contact support@hackerrank.com and include your order ID (cs_live_abcdefgh) for faster resolution.","community","Replied","product_issue"
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms","Using HackerRank for hiring","HackerRank","Escalate to a human","","Escalated","product_issue"
"i can not able to see apply tab
","I need to practice, submissions not working","HackerRank","Escalate to a human","","Escalated","product_issue"
"none of the submissions across any challenges are working on your website","Issue while taking the test","HackerRank","If your challenge submissions are not working, try these steps:

1. Close the challenge window and reopen it using the same challenge link.
2. Open the challenge in another supported browser, such as the latest versions of Chrome, Firefox, or Edge.
3. Ensure your internet connection is stable.
4. If you're working with HTML/CSS/JavaScript or Projects questions, check your browser's cookie settings. HackerRank uses cookies for authentication, and restrictive settings may prevent submissions from working. You can add an exception for [*.]hackerrank.com in your browser's cookie settings.
5. Use the Run Code button to test your program before submitting to verify the editor is working properly.

If submissions still fail after trying these steps, contact HackerRank support at help@hackerrank.com.","community","Replied","bug"
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error","I am facing an blocker while doing compatible check","HackerRank","The compatibility page now includes a WebSocket connectivity check that helps identify setup issues before starting the test. If you're seeing an error related to connectivity (which may appear similar to what you're describing as 'zoom connectivity'), this typically indicates a WebSocket connection issue.

To resolve WebSocket connectivity problems:

1. Check if your network or firewall is blocking WebSocket connections
2. Ensure your browser is up to date (Chrome or Edge are recommended)
3. Try disabling any VPN or proxy connections
4. Check with your IT department if you're on a corporate network, as they may need to allowlist HackerRank domains

For detailed troubleshooting steps, refer to: https://candidatesupport.hackerrank.com/articles/2573735554-test-login-errors","screen","Replied","bug"
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.","","HackerRank","Escalate to a human","","Escalated","product_issue"
